pais,categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
BRA,BEBIDAS,CIMED,RESSALIV POS ROLE,1698161.84,2066.07,,,,0.44282768501403175,0.0004989552668059272,,,,False,5.242934838709678,323895.2785493572,394.0674571703192,,,,Brasil
BRA,BEBIDAS,COCA COLA,POWERADE,28942126.259999998,25384524.740000002,16518231.41,6405288.62,1784801.89,7.547204553306661,6.130354883613992,5.476489876011434,2.7044350549128136,0.961056561504632,False,5.242934838709678,5520214.7557345675,4841663.213622413,3150569.6557665495,1221699.0706633283,340420.38379390805,Brasil
BRA,BEBIDAS,COCA COLA,POWERADE I9,101618.69,122304.5,1063200.18,4932384.98,6254870.54,0.026498987426815893,0.029536498971024953,0.35249566841753877,2.0825470381750635,3.368040121152618,False,5.242934838709678,19382.024214706635,23327.488088732374,202787.21988878673,940767.9347038947,1193009.398823535,Brasil
BRA,BEBIDAS,ECOFITUS,HELYDRA,1728798.7,3131362.35,1065002.55,225677.72,173261.79,0.4508168233107085,0.7562230402698289,0.35309323003372073,0.09528543884425282,0.09329572154225904,False,5.242934838709678,329738.7347322953,597253.7226441384,203130.99108859122,43044.158842824916,33046.718170283595,Brasil
BRA,BEBIDAS,ECOFITUS,POWERFIG,26829.18,182196.2,155837.77000000002,,,0.006996214018226179,0.04400032602091221,0.05166678856360679,,,False,5.242934838709678,5117.20645504014,34750.80381598634,29723.38485868971,,,Brasil
BRA,BEBIDAS,EMS,EMIDRAT,52.02,85.35,20.37,43.36,7848.16,1.356519480759851e-05,2.0611998636002596e-05,6.753513497021103e-06,1.8307419218373895e-05,0.004225973597404804,False,5.242934838709678,9.921923808002635,16.279050307824388,3.885228526893765,8.27017716868501,1496.9020675319866,Brasil
BRA,BEBIDAS,ESSENTIAL NUTRIT.,HYDROLIFT,1698.77,,,,,0.00044298627418885275,,,,,False,5.242934838709678,324.0112746505312,,,,,Brasil
BRA,BEBIDAS,EUROFARMA,REHIDRAT,17912531.76,23835768.650000002,17807489.95,14782165.200000001,12518562.06,4.671030042708486,5.756330766278541,5.903933418035966,6.241312160324211,6.74083004717456,False,5.242934838709678,3416508.5607679226,4546264.522308301,3396473.635057144,2819444.7680066903,2387701.2484635236,Brasil
BRA,BEBIDAS,GENOMMA LAB,SOROX,88656993.81,65332664.3,16756490.440000001,236.83,,23.1189810090101,15.777818247662747,5.555482785922685,9.999414422249745e-05,,True,5.242934838709678,16909802.722594794,12461086.454410106,3196013.4839524133,45.17126519510311,,Brasil
BRA,BEBIDAS,GLOBO PHARMA,REHIDRAZOL,867170.1,3125902.3000000003,4029671.49,3101696.45,4376670.44,0.22613093690551098,0.7549044398813989,1.3360059301068306,1.309595415089762,2.35669172442739,False,5.242934838709678,165397.84046093858,596212.3116466781,768590.8015198087,591595.4604469868,834774.9065439709,Brasil
BRA,BEBIDAS,GREEN NUTRITION,REIDRAT PLUS,2745.03,18134.28,,,,0.0007158182757151507,0.004379423018452129,,,,False,5.242934838709678,523.5674454187134,3458.8032386194923,,,,Brasil
BRA,BEBIDAS,HEBRON,ENERGICLIN DRINK,956.26,71437.07,130843.49,27973.5,,0.00024936280635744234,0.017252030338606002,0.043380131355539794,0.011810945376042024,,False,5.242934838709678,182.39021262284888,13625.397262724928,24956.154143659256,5335.465890872005,,Brasil
BRA,BEBIDAS,HEBRON,FLORAX HYDRA,1195890.01,1874987.93,1290262.77,1786175.06,976722.6,0.31185084494638465,0.4528090059247959,0.42777648659297174,0.7541571868271251,0.5259326924512973,False,5.242934838709678,228095.53175646882,357621.82588205644,246095.51895890862,340682.29244664614,186293.1030133455,Brasil
BRA,BEBIDAS,HERA PHARMACEUTICA,REYDRAT MAIS,605596.54,1839505.01,319842.67,,,0.1579207043427071,0.44423989170521316,0.10604132492725903,,,False,5.242934838709678,115507.16509554055,350854.0667754541,61004.509847907146,,,Brasil
BRA,BEBIDAS,HERA PHARMACEUTICA,SEXTOU AFTER,8300.85,56646.04,159713.73,,,0.002164602985748829,0.013680001162448137,0.05295183265658244,,,False,5.242934838709678,1583.2449296743305,10804.261685987496,30462.657826833998,,,Brasil
BRA,BEBIDAS,HYPERA CH,ENGOV,55797554.800000004,61291225.87,57993079.16,50854831.45,32047067.91,14.55026337273459,14.801812115188834,19.227149869458675,21.471880042317693,17.25628209184048,False,5.242934838709678,10642427.67009711,11690251.310673201,11061186.328661771,9699687.86842976,6112429.1824857015,Brasil
BRA,BEBIDAS,HYPERA PHARMA,HIDRAPLUS,402.44,545.95,834.96,641.81,1567.56,0.00010494381004171367,0.00013184675635999552,0.00027682442952738046,0.0002709844263963226,0.0008440790162723332,False,5.242934838709678,76.75853551119916,104.13060943827448,159.25431570030526,122.41426219173721,298.9852150033181,Brasil
BRA,BEBIDAS,IFAL,REHIDRATANTE IFL,1430.07,12729.84,12.66,1632.92,18293.03,0.00037291768816805846,0.0030742524278445376,4.197323557795148e-06,0.0006894499767081896,0.009850189317818952,False,5.242934838709678,272.7613529432973,2427.998895964326,2.4146781124435477,311.45151527419574,3489.0820814591775,Brasil
BRA,BEBIDAS,IFBRASIL,IFHIDRAT,15937.05,13471.94,1501.0900000000001,,,0.00415588596517566,0.003253469348615218,0.0004976745986864707,,,False,5.242934838709678,3039.719258445374,2569.541757516013,286.30720124864814,,,Brasil
BRA,BEBIDAS,KRESS,FLEXIUM,102603.91,164065.36,87328.0,,,0.026755902098641003,0.03962173376139748,0.02895291245301222,,,False,5.242934838709678,19569.938051194917,31292.656698433733,16656.31992128516,,,Brasil
BRA,BEBIDAS,KRESS,REDRALITE,971956.96,1884378.91,752879.3,,,0.25345608433297256,0.45507692469399014,0.2496112181726951,,,False,5.242934838709678,185384.13882694853,359412.99443343043,143598.82835875353,,,Brasil
BRA,BEBIDAS,KRESS,REDRALITE KIDS,546315.39,960075.86,405668.52999999997,,,0.1424620279073271,0.231858023629514,0.13449621466233233,,,False,5.242934838709678,104200.30132101584,183118.02254560945,77374.32229843196,,,Brasil
BRA,BEBIDAS,LA SAN DAY PHARMA,EPAZIL AFTER,6176.47,12472.65,31621.44,,,0.0016106308876064584,0.0030121411222886678,0.010483840050821942,,,False,5.242934838709678,1178.055838954518,2378.944309571012,6031.24795039075,,,Brasil
BRA,BEBIDAS,LA SAN DAY PHARMA,HIDRORADE,1234152.08,3439924.61,1236655.28,543687.47,,0.32182840037298927,0.8307407307471794,0.410003344361434,0.22955522225708208,,False,5.242934838709678,235393.36611395562,656106.6875373543,235870.80862983782,103699.07060180156,,Brasil
