pais,categoria,sub_categoria,laboratorio,producto,mkt_am1,mkt_am2,mkt_am3,mkt_am4,mkt_am5,ms_am1,ms_am2,ms_am3,ms_am4,ms_am5,es_genomma,er_aplicado,mkt_usd_am1,mkt_usd_am2,mkt_usd_am3,mkt_usd_am4,mkt_usd_am5,pais_nombre
COL,4.VMS,21.VITAMINA C,PROCAPS CONSUMO,VITAMINA C + ZINC P.C,540851.44,,11644868.0,44647524.23,,4.98839001100521e-06,,0.000132248934904849,0.000488144952615718,,False,3721.9522580645153,145.31391122175566,,3128.698917286905,11995.727278140193,,Colombia
COL,4.VMS,21.VITAMINA C,PROCTER&GAMBLE,CEBION CALCIO,8990632332.114,9163345949.47,9850094420.224,10522779468.53,13439564279.065,0.0829225498930685,0.101041373006509,0.111865973559066,0.115048746232602,0.125651785909551,False,3721.9522580645153,2415568.956488791,2461972.99538579,2646485.9668420986,2827220.431355571,3610891.0988702,Colombia
COL,4.VMS,21.VITAMINA C,PROFAR,ZINCOVIT-C,26237423.86,43587522.03,72467280.24,58351170.01,1682700.09,0.000241993444813115,0.000480626083108583,0.000822999507353042,0.000637971077027022,1.57322266606527e-05,False,3721.9522580645153,7049.371416076129,11710.929911999014,19470.233687974367,15677.570791932645,452.1014707682026,Colombia
COL,4.VMS,21.VITAMINA C,ROBINSON PHARMA,NUTRA,317488142.88,110970000.0,,,,0.00292826192818343,0.00122363176337142,,,,False,3721.9522580645153,85301.50868864174,29814.99823367065,,,,Colombia
COL,4.VMS,21.VITAMINA C,SOFT CAPS LABORAT,VITAMINA C + ZINC SFT,939455.99,14572600.0,1038800.0,7173600.0,34035400.0,8.66480613658902e-06,0.000160687539289054,1.17974882651445e-05,7.84311491505095e-05,0.000318210375377099,False,3721.9522580645153,252.4094681667235,3915.3108340992057,279.10083955246523,1927.3756089849487,9144.502035525584,Colombia
COL,4.VMS,21.VITAMINA C,TRIDEX FARMACEUT,CEVIT,250396533.14,310931327.0,184496978.0,42782552.0,92711250.0,0.00230946147560578,0.00342854328146729,0.00209530316991685,0.000467754644383772,0.00086679403398168,False,3721.9522580645153,67275.58973854514,83539.8482950155,49569.947492003,11494.653620905854,24909.30661432277,Colombia
COL,4.VMS,21.VITAMINA C,VELEZGO,FRESAVIT C,35308755.32,29513845.0,61589586.0,87006660.0,133602832.0,0.000325660300246802,0.000325440012627023,0.000699463244214584,0.000951270258663386,0.00124910555839401,False,3721.9522580645153,9486.622307821115,7929.667807009365,16547.65610347397,23376.61903413159,35895.90159586732,Colombia
COL,4.VMS,21.VITAMINA C,VITAMINA AG SAS,VITAMINA C VAG,355117276.0,378157582.0,287165307.0,252119868.0,142384242.0,0.00327532357560845,0.00416982633950556,0.00326129123940039,0.00275650314638602,0.00133120642315365,False,3721.9522580645153,95411.56129301552,101601.94322230479,77154.48428382886,67738.60880502187,38255.25749060587,Colombia
COL,4.VMS,21.VITAMINA C,WHESTER FARMACEUTICA,BEE MINT PLUS,2001798.407,1550000.0,8882698.0,21618828.0,20717160.0,1.84630204137479e-05,1.70913691378363e-05,0.000100879404522355,0.000236365217370248,0.000193692897992896,False,3721.9522580645153,537.8355949253827,416.4481144650762,2386.5695699759376,5808.464617770835,5566.207883271805,Colombia
COL,4.VMS,22.VITAMINA A+D,COASPHARMA,VITAVITAM,96285987.8,113492822.0,91792081.0,231003635.0,222956572.0,0.00473959550058457,0.0059043647155019,0.00481257508453635,0.0106723886592167,0.0111190914062348,False,3721.9522580645153,25869.753592720856,30492.820469174527,24662.347777597126,62065.17950343786,59903.12517225613,Colombia
COL,4.VMS,22.VITAMINA A+D,GLAXO SMITHKLINE,EMULSION DE SCOTT,19670920156.68,18265350260.0,18167474500.0,20485568319.0,18555662665.0,0.968284241530718,0.950238858202217,0.952504117731567,0.946435093998864,0.925391467157081,False,3721.9522580645153,5285108.134866095,4907464.952142702,4881168.064591841,5503984.709801968,4985464.986767265,Colombia
