2026-05-03 17:43:55,383 | INFO | root | Log activo: logs\pipeline_20260503_174355.log
2026-05-03 17:43:55,968 | INFO | run_pipeline | ━━━ PASO 1/3: INGEST ━━━
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'INTERNACIONAL ARG', 'producto': 'KETOROLACO NTH'}
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'ISA', 'producto': 'PARACETAMOL FORTE ISA'}
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'KLONAL', 'producto': 'IBUPROFENO KNL'}
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'KLONAL', 'producto': 'PARACETAMOL KLONAL'}
2026-05-03 17:44:10,488 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'ANALGINA'}
2026-05-03 17:44:10,489 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'IBUFULL'}
2026-05-03 17:44:10,489 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'LAFEDAR', 'producto': 'IBUPROFENO LAF'}
2026-05-03 17:44:10,490 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'MICROSULES', 'producto': 'COPIRON'}
2026-05-03 17:44:10,491 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'MICROSULES', 'producto': 'SINDOL PEDIATRICO'}
2026-05-03 17:44:10,491 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'RICHET', 'producto': 'KETOROLAC RH.'}
2026-05-03 17:44:10,491 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'DUPRAC'}
2026-05-03 17:44:10,491 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'FIEBROLITO'}
2026-05-03 17:44:10,491 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'IBUXIM'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'SAVANT', 'producto': 'NUEVAPINA 100'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'TRB PHARMA', 'producto': 'IBUPROFENO TRB PHARMA'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VALMAX', 'producto': 'IBUPROFENO VALMAX'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VENT', 'producto': 'ASPIRINA C VENT-3'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '08.ANALGÉSICOS', 'laboratorio': 'VENT', 'producto': 'KETOROLAC VENT 3'}
2026-05-03 17:44:10,492 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '09.DOLOR MUSCOESQUELÉTICO', 'laboratorio': 'GENOMMA LAB', 'producto': 'BENGUE'}
2026-05-03 17:44:10,493 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '09.DOLOR MUSCOESQUELÉTICO', 'laboratorio': 'SAVANT', 'producto': 'FLEXIPLEN'}
2026-05-03 17:44:10,493 | WARNING | process | Registro rechazado: NULL en mkt_am1 | datos: {'pais': 'ARG', 'categoria': '2.DOLOR', 'sub_categoria': '10.DOLOR TÓPICO', 'laboratorio': 'ALEF BIOTECHNOLOGICAL', 'producto': 'NIKIX CBD'}
